moment,agency,social
"Being able to take my mother out to eat lunch after the dentist, as I have been trying to work more online.",yes,yes
Got a big project at work done,no,no
It made me very happy to see an NBA game last night.,yes,no
I found out my sister is having a baby.,no,yes
I've met someone who enjoys things that I love.,yes,yes
The dandelions in my yard are finally not coming back after applying weed treatment to my grass.,yes,no
It made me happy when someone at the MGM hotel found my cell phone when I lost it and turned it in.,no,no
Finding a new lip serum that seems to work and smells amazing.,yes,no
"I spoke with my brother through text messages, we don't talk very much.",yes,yes
I had dinner with my wife.,yes,yes
Beating Zelda: Breath of the Wild made me happy.,yes,no
Went for a drink with my coworkers.,yes,yes
Finishing my presentation at work  and can relax for the rest of the day,yes,no
"I learned today that I have received approval to take out a loan to by a new house, which is awesome.",no,no
I bought a new laptop.,yes,no
I went on a mile long jog around town after work.,yes,no
when I went to bed and snuggled up to my husband,yes,yes
I bought a beautiful dress and shoes.,yes,no
"I had a piece of cookie cake at lunch today, and it was delicious!",yes,no
I got to watch the UNC tennis championship match on TV.,yes,no
"I ate a nice, big and delicious lunch that I made this morning.",yes,no
I pet a kitten.,yes,no
My mother called me from work to tell me that she won $20 on a scratch-off lottery ticket.,no,yes
I splurged and got a super yummy coffee at a new coffee shop that opened up.,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
When my husband thanked me for making breakfast and kissed me goodbye before he headed off to work.,no,yes
My boyfriend and I got back together after a huge fight.,yes,yes
I made bbq ribs for the family,yes,yes
"After searching for an hour to find a new shirt wear at a wedding, I finally found the perfect shirt at Express.",yes,no
I ate really good chocolate my boyfriend gave me today,yes,yes
I went to see Guardians of the Galaxy 2 at our local theater and it was a great movie.,yes,yes
"Worked 7 hours online, which is a great feat for me.",yes,yes
I played with a dog and they were happy to see me.,yes,no
Eating pita chips,yes,no
I went with my girlfriend on a trip to Thailand.,yes,yes
Another thing that made me happy today was getting to watch the premiere of the new season of Twin Peaks.,yes,no
I watched a basketball team that I like defeat their opponent and earn a trip to the NBA Finals.,yes,yes
"My fiance got home from work, and she has the night off tonight.",no,yes
Decided to eat a salad for lunch.,yes,no
I watched Teen Mom and laughed at Farrah.,yes,no
I got to sit around and watch friends.,yes,yes
"My dad called from prison today, and it wasn't collect.",no,yes
"Digivolving in a game, I've been working towards that for an hour!",yes,no
i was having a bad day and had to take care of a bunch of errands on my break and my coworker covered for me and take an extra long break so i could get everything done and relax.,yes,yes
I saw a cute bunny in my yard.,no,yes
I bought a special tool and cleaned my mini-blinds to a shine.,yes,no
I finished an inspiring book and started two more.,yes,no
More of these hits were posted and I got to do one!,yes,no
I was able to meet with a manager at work and he had many positive things to say about my recently completed work.,yes,yes
My niece got into dental school.,no,yes
Received a 12.50 amazon gift card from a m turk study.,yes,yes
I was able to get in an intense push workout that makes me feel nice and pumped up.,yes,no
It rained most of the day today and that makes me happy.,no,no
An online order from Urban Outfitters came to my house four days earlier than their estimated delivery date,no,no
I was also told that I was pretty,yes,yes
My brother in law came out in the rain to help us put a tarp on the house.,no,yes
I was happy when my grades were finally posted on my school website.,no,no
Getting called for a job interview,yes,yes
I won $20 on a scratch ticket last month.,no,no
Had a side dish of Spanish rice with supper and everyone ate it.,yes,yes
I am on summer vacation,yes,no
I contributed some good comments at a work meeting.,yes,no
"While eating breakfast, i felt a light jab from my border collie, she had gathered the paper dish the bird tossed from the top of his cage and brought it to me for her task treat!",yes,no
Another event that made me happy in the past 24 hours was when I was at my job and one of my students told me that I was his favorite teaching assistant out of the other 11 teaching assistants.,no,yes
Going to the gym and exercising made me happy because I was glad I made it there and I was happy I could accomplish the whole class.,yes,no
We went to dinner with my boyfriend's parents and family.,yes,yes
I ate a delicious dinner.,yes,no
I thought of a very funny moment I had with friends at school (in the past) when I made them laugh.,yes,yes
Finding a solid balance in my personal and professional life.,yes,no
Next we went to zoo.We are watched many animals in the zoo.Small to big animals are there in this zoo.Watched and  take photo graphs.,yes,yes
I was correct in my task at work.,yes,no
I visit a new mobile showroom just opened I get a gift from the lucky draw.,yes,no
"I received notice that an item I ordered, which was delayed in transit, would be delivered tomorrow.",no,no
With my family member's 4 days trip to Mysore.,yes,yes
"I was walking on the sidewalk and I saw a lady with a little fluffy puppy on a pink leash walk into a shop, the dog resisted going in the shop and I blinked and then saw the dogs back paws flying into the door.",no,yes
I created a Tikka Masala meal for dinner that surpassed my expectations.,yes,no
When my child told me she wanted to spend the day with me instead of going to daycare.,no,yes
I went park with my girl friend and talk many future matters.,yes,yes
I danced with my child for a solo song in my house.,yes,yes
I WANT TO COLLEGE,yes,no
MY BROTHER PRESENTED IN MY BIRTHDAY IPHONE APPLE MOBILE AND THEN VERY EXCITING THAT DAY VERY HAPPIEST MOMENT,no,yes
"Met a high school classmate , we talked a lot and it made me quite happy.",yes,yes
I went for a walk with my wife.,yes,yes
I resolved an issue with my bank where money had gone missing.,yes,no
"I made my goal by noon today, and now everything else is extra and will help me make up for yesterday.",yes,no
my friend did an impression today of someone we hate from work and it was really funny.,no,yes
I ate from my favorite restaurant.,yes,yes
My daughter who has mental issues started a helpful psychologist.,yes,yes
Managed to finish an extensive 5 page paper and a 2 page paper in the span of a few hours.,yes,yes
"I chatted with our bread vendor at work, and that makes me very happy because I have a huge crush on him and he's always brightening my day.",yes,yes
When I was able to finish a week's worth of school work in one day.,yes,no
This morning's happy event was finalizing and confirming the summer vacation to the beach.,yes,no
Ate a pleasant meal with my family for dinner while enjoying our daily show of Jeopardy and the nightly news.,yes,yes
I finished the writing assignment I had been working on.,yes,no
today watched cinema,yes,no
I thought about the fact that my son is graduating Kindergarten this week.,yes,yes
I've made a lot of money today,yes,no
I had some of my favorite rose.,yes,no
I received an unexpected call about a job that I started today.,no,yes
"My new nan came in the mail, it has a picture of a cat on it.",no,no
